-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void fft2d_r2c_32x32<float, false, 1u, true>(float2*...         0.00%       0.000us         0.00%       0.000us       0.000us       2.673ms         0.00%       2.673ms     178.200us           0 b           0 b           0 b           0 b            15  
void fft2d_r2c_32x32<float, false, 0u, false>(float2...         0.00%       0.000us         0.00%       0.000us       0.000us      18.944ms         0.02%      18.944ms      12.005us           0 b           0 b           0 b           0 b          1578  
void gemv2N_kernel<int, int, float2, float2, float2,...         0.00%       0.000us         0.00%       0.000us       0.000us     203.565ms         0.25%     203.565ms     120.595us           0 b           0 b           0 b           0 b          1688  
void fft2d_c2r_32x32<float, true, false, 0u, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       5.436ms         0.01%       5.436ms      12.271us           0 b           0 b           0 b           0 b           443  
void cudnn::detail::implicit_convolve_sgemm<float, f...         0.00%       0.000us         0.00%       0.000us       0.000us      14.029ms         0.02%      14.029ms       1.169ms           0 b           0 b           0 b           0 b            12  
void fft2d_c2r_32x32<float, false, false, 0u, false,...         0.00%       0.000us         0.00%       0.000us       0.000us      13.958ms         0.02%      13.958ms      11.193us           0 b           0 b           0 b           0 b          1247  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us      65.063ms         0.08%      65.063ms       4.059us           0 b           0 b           0 b           0 b         16029  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 332.764s
Self CUDA time total: 82.275s
